Timestamp,1. Gender,2. Age Group,3. Year of Study,4. How often do you feel emotionally overwhelmed due to academics or personal issues?,5. How often do you engage in deep conversations about your feelings? ,6. Whom do you have deep conversations with during overwhelming times?,7. Have you ever felt hesitant to share your feelings with someone (even close ones),8. Have you ever had a conversation with an AI for sharing your feelings or emotional confusions?,"In the upcoming questions it is required to rate the intensity levels of your emotions so for that please refer this scale.

Scale 1–5
1 = Mild
2 = Slight / Low
3 = Moderate
4 = Strong / Intense  
5 = Extremely overwhelming  ","9. When you feel stressed, how intense is it usually?  ","10. When you feel stressed and anxious about any upcoming projects/ exams/ presentations or any other person reasons, what kind of response helps most? 
(Based on the Intensity of the Emotion)","11. When you feel irritated or angry, how intense is it usually? ","12. When you are angry or frustrated, what works better?  ","13. When you feel sad or low, how intense is it usually? ","14.  When you feel sad, what helps you the most?  ","15.  When you feel lonely, what would you prefer?   ",16. Rate your Excitement Level,"17. When you feel happy or proud of something, what kind of response feels meaningful?  ",  18. Would you prefer an AI to:  ,"19. In any of the feelings down situation, what comforts you more?","20. When emotions feel intense, do you prefer:",What situations or factors most commonly trigger strong emotions for you?  ,"What would you want in your personal AI Companion to have the perfect emotional conversation, what would it do (or avoid doing)?  "
4/7/2026 12:05:40,Male,20-25,2nd,Sometimes,Rarely,No one,In some matters,No,4,5,Slow Music/Melodies to release the emotions,3,Distraction,2,Get confidence that things will improve,Going Out,1,"A calm, mature appreciation, Just listening and letting you talk about it","Mostly listen and validate feelings, Give advice immediately",Text-Only Support,Encouragement to pause/breathe,nothing,avoid doing
4/7/2026 12:05:49,Male,17-19,2nd,Sometimes,Very Frequently,Mentor at university/ workplace,In some matters,No,1,1,I feel boring to do projects ,1,Sleeping ,1,Sleep ,Sleep ,1,Going to sleep ,install a sleeping device in  it ,sleep,sleep,A not good breakfast,"I am not going to do conversation with ai its waste of time and i will prefer ai model robot to have an sleeping device if all person are going to that ai can also take rest have a good working robot 
"
4/7/2026 12:06:42,Male,17-19,2nd,Sometimes,Rarely,No one,Yes,Yes,4,4,Slow Music/Melodies to release the emotions,4,Distraction,4,"Being distracted with funny entertainment, Listening to emotional songs",Going Out,2,"A calm, mature appreciation, Just listening and letting you talk about it","Mostly listen and validate feelings, Give advice immediately","Hearing a calm voice, Text-Only Support",Encouragement to pause/breathe,nothing,avoid doing
4/7/2026 12:07:01,Male,20-25,2nd,Rarely,Sometimes,No one,In some matters,No,4,4,Calm Reassurance,5,Distraction,2,Get confidence that things will improve,Going Out,4,"A calm, mature appreciation",Ask reflective questions,Hearing a parental tone,Slower responses,-,-
4/7/2026 12:07:16,Male,17-19,2nd,Sometimes,Sometimes,"Friends, Family",In some matters,No,,2,Slow Music/Melodies to release the emotions,1,"Write down or redirect your energy into another creative activity, Exercise or do any physical activity to release the energy",2,Someone who just listens,"Going Out, Entertainment",3,"Encouragement to aim even higher, A calm, mature appreciation",Ask reflective questions,Text-Only Support,"More detailed guidance and conversations, Encouragement to pause/breathe",A deep conversation where one listens and respond understanding it.,Avoid giving me random advices/suggestions. 
4/7/2026 12:07:59,Male,20-25,2nd,Sometimes,Sometimes,Friends,Yes,Yes,,4,"Calm Reassurance, Light jokes to reduce the worry, Suggesstion of happy songs or any other entertainments to distract from this feelings",3,Logical Reasoning,4,"Being distracted with funny entertainment, Get confidence that things will improve","Friendly casual conversation, Going Out, Entertainment",5,"Encouragement to aim even higher, Someone acknowledging the effort behind the achievement, Just listening and letting you talk about it","Ask reflective questions, Suggest activities (entertainment, walks, journaling)","Hearing a calm voice, Hearing a friendly tone",Softer tone,,Making it sound more like humans and not just trained algorithm
4/7/2026 12:08:43,Male,17-19,2nd,Sometimes,Often,No one,Yes,Yes,3,4,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal, Motivational Push, Slow Music/Melodies to release the emotions",3,"Venting Out, Distraction",5,"Inspirational Quotes, Being distracted with funny entertainment","Friendly casual conversation, Entertainment",4,"A warm celebration of the moment, Casual excitement and hype","Give advice immediately, Suggest activities (entertainment, walks, journaling)","Hearing a calm voice, Hearing a parental tone, Hearing a friendly tone","More detailed guidance and conversations, Encouragement to pause/breathe",when i go to work but i get distracted which make me very depressed,yes i need an AI companion 
4/7/2026 12:08:45,Male,20-25,2nd,Sometimes,Sometimes,Friends,Yes,No,5,5,Calm Reassurance,5,Logical Reasoning,5,Being distracted with funny entertainment,Entertainment,5,"A calm, mature appreciation",Give advice immediately,Hearing a calm voice,Softer tone,academics,To help me to live an easy and good life
4/7/2026 12:09:19,Male,17-19,2nd,Sometimes,Rarely,No one,Yes,Yes,,3,Suggesstion of happy songs or any other entertainments to distract from this feelings,3,Logical Reasoning,2,Inspirational Quotes,Friendly casual conversation,4,"A calm, mature appreciation","Ask reflective questions, Suggest activities (entertainment, walks, journaling)",Hearing a calm voice,Encouragement to pause/breathe,,
4/7/2026 12:10:41,Male,17-19,2nd,Often,Rarely,No one,Yes,No,,2,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal, Light jokes to reduce the worry, ",3,"Venting Out, Distraction, Exercise or do any physical activity to release the energy, ",3,"Being distracted with funny entertainment, Listening to emotional songs, Get confidence that things will improve","Entertainment, Work Out",4,"Encouragement to aim even higher, A reflective conversation about how you grew, Waiting for A Lower Jab Moment","Mostly listen and validate feelings, Give advice immediately, Ask reflective questions, Suggest activities (entertainment, walks, journaling)","Hearing a calm voice, Hearing a friendly tone","More detailed guidance and conversations, Encouragement to pause/breathe, Softer tone",Sudden Fall of everything,
4/7/2026 12:13:28,Male,17-19,2nd,Very Frequently,Rarely,No one,Yes,No,5,5,Slow Music/Melodies to release the emotions,5,Distraction,5,Listening to emotional songs,Going Out,5,Casual excitement and hype,"Suggest activities (entertainment, walks, journaling)",Hearing a calm voice,Softer tone,academics,To help me live an easy and stressfree life :)
4/7/2026 12:30:17,Female,17-19,2nd,Sometimes,Often,"Friends, Family",No,No,3,4,"Step by Step Guidance and Planning to calmly reach your goal, Slow Music/Melodies to release the emotions",4,Distraction,3,"Someone who just listens, Being distracted with funny entertainment","Friendly casual conversation, Going Out",5,Encouragement to aim even higher,Give advice immediately,Hearing a friendly tone,"More detailed guidance and conversations, Encouragement to pause/breathe",NA,NA
4/7/2026 12:33:03,Male,17-19,2nd,Sometimes,Rarely,Family,No,No,3,1,Calm Reassurance,3,"Logical Reasoning, Venting Out",1,Get confidence that things will improve,Going Out,5,Sharing the Achievement with Family,Giving improvement advice in all kind of Research work,Hearing a friendly tone,"More detailed guidance and conversations, Encouragement to pause/breathe",N/A,"No AI should act like friend which helps in giving advice, giving a lame joke and should have some roasting abilities."
4/7/2026 12:38:30,Female,17-19,2nd,Sometimes,Sometimes,No one,Yes,No,4,3,"Step by Step Guidance and Planning to calmly reach your goal, Motivational Push, Light jokes to reduce the worry, Slow Music/Melodies to release the emotions",4,Distraction,4,"Someone who just listens, Inspirational Quotes, Being distracted with funny entertainment, Get confidence that things will improve","Friendly casual conversation, Entertainment",4,"A warm celebration of the moment, Encouragement to aim even higher, A calm, mature appreciation",Ask reflective questions,"Hearing a calm voice, Hearing a cheerful voice","Slower responses, Softer tone","Someone disrespecting, ignoring ",Judging skills
4/7/2026 14:05:53,Male,17-19,2nd,Rarely,Rarely,No one,No,No,,2,"Step by Step Guidance and Planning to calmly reach your goal, ",3,Logical Reasoning,2,Someone who just listens,Friendly casual conversation,4,A warm celebration of the moment,NA,NA,Softer tone,,
4/8/2026 13:23:25,Female,17-19,2nd,Rarely,Rarely,Family,No,No,3,3,Calm Reassurance,2,Venting Out,2,Get confidence that things will improve,Going Out,4,"A calm, mature appreciation",Learning ,Meditation ,Softer tone,,
4/10/2026 13:43:51,Female,20-25,2nd,Often,Rarely,No one,No,No,,4,Motivational Push,3,"Venting Out, Exercise or do any physical activity to release the energy",3,Coping up advice,Friendly casual conversation,2,"A warm celebration of the moment, Encouragement to aim even higher, Casual excitement and hype, A calm, mature appreciation","Suggest activities (entertainment, walks, journaling)",Text-Only Support,Encouragement to pause/breathe,,
4/12/2026 12:19:19,Female,20-25,4th,Very Frequently,Sometimes,"Friends, Family",In some matters,Yes,,5,"Calm Reassurance, Light jokes to reduce the worry",3,Distraction,5,"Someone who just listens, Being distracted with funny entertainment, Get confidence that things will improve","A warm, nurturing tone, Going Out, Entertainment",4,"A warm celebration of the moment, A calm, mature appreciation",Hold the conversation like someone who geniuenely cares to listen,Hearing a calm voice,"Slower responses, Encouragement to pause/breathe, Softer tone",Overwhelming and twoo many emotions and situations to process at one time.,Dont validate wrong feelings
4/20/2026 14:50:17,Male,17-19,2nd,Sometimes,Sometimes,Friends,Yes,Yes,Extremely overwhelming,3,Calm Reassurance,2,"Write down or redirect your energy into another creative activity, Exercise or do any physical activity to release the energy",3,Inspirational Quotes,Friendly casual conversation,3,Just listening and letting you talk about it,"Mostly listen and validate feelings, Ask reflective questions",Hearing a parental tone,Encouragement to pause/breathe,,
4/20/2026 14:50:50,Male,17-19,2nd,Often,Often,Online Platforms,Yes,Yes,1,3,Motivational Push,3,Exercise or do any physical activity to release the energy,,Being distracted with funny entertainment,Going Out,4,Just listening and letting you talk about it,"Suggest activities (entertainment, walks, journaling)",Text-Only Support,Slower responses,No,No
4/20/2026 14:51:30,Male,17-19,2nd,Sometimes,Sometimes,Friends,Yes,Yes,Extremely overwhelming,4,"Motivational Push, Light jokes to reduce the worry",1,Write down or redirect your energy into another creative activity,3,"Being distracted with funny entertainment, Listening to emotional songs","Friendly casual conversation, Going Out",4,Someone acknowledging the effort behind the achievement,"Suggest activities (entertainment, walks, journaling)",Hearing a friendly tone,Encouragement to pause/breathe,,
